epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11267.5,1.20364,0.5782,1.10088,0.94976,0.94571,0.98001,0.67629,1.16243,0.48264,1.08612,0.005842,0.005842,0.005842
44,11524.8,1.20046,0.57382,1.10066,0.9501,0.94984,0.98081,0.67626,1.16324,0.48422,1.08664,0.005743,0.005743,0.005743
45,11781.2,1.19897,0.57259,1.10084,0.95201,0.94922,0.98087,0.67533,1.16209,0.48043,1.08539,0.005644,0.005644,0.005644
46,12037.4,1.19309,0.56817,1.09939,0.94982,0.94694,0.98013,0.67828,1.15897,0.48322,1.08386,0.005545,0.005545,0.005545
47,12293.6,1.19142,0.56438,1.095,0.94688,0.94879,0.97975,0.67805,1.15547,0.47841,1.0824,0.005446,0.005446,0.005446
48,12550,1.18346,0.56036,1.09607,0.94185,0.95012,0.97888,0.67828,1.15365,0.48013,1.08417,0.005347,0.005347,0.005347
49,12805.6,1.19096,0.56601,1.0953,0.94781,0.95084,0.98111,0.67991,1.1517,0.48014,1.07981,0.005248,0.005248,0.005248
50,13060.4,1.184,0.56154,1.09199,0.95239,0.94648,0.98048,0.68093,1.15176,0.47322,1.08018,0.005149,0.005149,0.005149
51,13316.2,1.17769,0.55786,1.08727,0.95444,0.94779,0.98163,0.68306,1.14913,0.47162,1.07656,0.00505,0.00505,0.00505
52,13571.5,1.17336,0.55847,1.08807,0.9526,0.94702,0.98083,0.68183,1.1485,0.47151,1.07941,0.004951,0.004951,0.004951
53,13827.1,1.17291,0.55619,1.08676,0.94865,0.95104,0.98081,0.6826,1.14785,0.47237,1.08009,0.004852,0.004852,0.004852
54,14082,1.17172,0.55308,1.08586,0.94757,0.95409,0.98177,0.68468,1.14691,0.46662,1.07725,0.004753,0.004753,0.004753
55,14336.6,1.17326,0.55419,1.08538,0.95001,0.95419,0.98136,0.68528,1.14421,0.46584,1.07578,0.004654,0.004654,0.004654
56,14589.3,1.17075,0.54695,1.08309,0.95139,0.95128,0.98153,0.68426,1.14728,0.46508,1.07626,0.004555,0.004555,0.004555
57,14840.8,1.17271,0.54862,1.08584,0.94998,0.95303,0.9818,0.68419,1.14668,0.4645,1.07731,0.004456,0.004456,0.004456
58,15095.6,1.16909,0.54661,1.08496,0.95533,0.94924,0.9807,0.68393,1.14812,0.46346,1.07667,0.004357,0.004357,0.004357
59,15349.4,1.15919,0.54197,1.07943,0.95079,0.9498,0.98148,0.68558,1.14562,0.46358,1.07446,0.004258,0.004258,0.004258
60,15603.6,1.16484,0.54422,1.08251,0.95316,0.94711,0.98107,0.68604,1.14546,0.46258,1.07381,0.004159,0.004159,0.004159
61,15859.8,1.15705,0.53999,1.07721,0.95655,0.94454,0.98075,0.68653,1.14286,0.45895,1.07271,0.00406,0.00406,0.00406
62,16116,1.15058,0.53571,1.07516,0.95029,0.9507,0.98079,0.68661,1.14146,0.45947,1.07273,0.003961,0.003961,0.003961
63,16377.2,1.15485,0.53426,1.07816,0.95206,0.94881,0.98081,0.68744,1.14037,0.45736,1.07196,0.003862,0.003862,0.003862
64,16633.8,1.15025,0.53349,1.07729,0.94985,0.94735,0.98121,0.6874,1.14053,0.45776,1.07265,0.003763,0.003763,0.003763
65,16894.9,1.15081,0.53147,1.07532,0.95104,0.9491,0.98167,0.68797,1.13851,0.45517,1.07108,0.003664,0.003664,0.003664
66,17150.3,1.15269,0.53179,1.07536,0.9544,0.94575,0.98154,0.6889,1.13848,0.45442,1.07134,0.003565,0.003565,0.003565
67,17404.7,1.13934,0.52524,1.07203,0.95561,0.94648,0.98164,0.68876,1.13755,0.45304,1.07084,0.003466,0.003466,0.003466
68,17658.5,1.13681,0.5259,1.06785,0.95405,0.94809,0.98163,0.6886,1.13755,0.45447,1.07109,0.003367,0.003367,0.003367
69,17912.8,1.13642,0.52133,1.07075,0.95425,0.9475,0.98105,0.68948,1.13728,0.45347,1.07102,0.003268,0.003268,0.003268
70,18167.4,1.12888,0.52055,1.06959,0.9566,0.9459,0.98164,0.68987,1.1381,0.45157,1.07196,0.003169,0.003169,0.003169
71,18422.7,1.13095,0.52082,1.0671,0.95641,0.94503,0.98173,0.68968,1.13692,0.45061,1.06974,0.00307,0.00307,0.00307
72,18677.3,1.13002,0.51766,1.06442,0.95255,0.94924,0.98148,0.69007,1.13804,0.45115,1.06996,0.002971,0.002971,0.002971
